epoch,train_accu,train_loss,valid_accu,valid_loss
1,0.7725024727992087,0.037878977265632705,0.5632411067193676,0.08932935537792477
2,0.8818001978239367,0.011347679548429806,0.5790513833992095,0.09743446503349915
3,0.9109792284866469,0.008572861544868948,0.8043478260869565,0.01884284282743695
4,0.920375865479723,0.00821577129806332,0.8557312252964426,0.014145510683476688
5,0.9515331355093967,0.00464824488654578,0.924901185770751,0.02148724189064955
6,0.9446092977250248,0.0051554320928199416,0.9525691699604744,0.0074972623900285825
7,0.97675568743818,0.0021445929690224554,0.9624505928853755,0.004240675533021038
8,0.97675568743818,0.002609568111504991,0.9466403162055336,0.005066314117666408
9,0.9718100890207715,0.0025128436686598227,0.9426877470355731,0.005983883091671901
10,0.9782393669634025,0.0020168531650601785,0.9130434782608695,0.016342917898956966
11,0.9727992087042532,0.0027218465149793205,0.924901185770751,0.008915783870567682
12,0.983679525222552,0.0013961224613156682,0.9782608695652174,0.003191650567186091
13,0.9846686449060337,0.0016636695083171778,0.9426877470355731,0.008259260570519998
14,0.9866468842729971,0.0016518052012816672,0.9861660079051383,0.003930480515753681
15,0.9915924826904056,0.001417815913496913,0.950592885375494,0.010900962221704924
16,0.990108803165183,0.0014680570910816494,0.9782608695652174,0.003236920855343047
17,0.9945598417408507,0.0004540245179050076,0.9841897233201581,0.0034326775921619105
18,0.9915924826904056,0.0012793964787972925,0.9782608695652174,0.002792058681899851
19,0.9910979228486647,0.0009296592156279327,0.9762845849802372,0.0038204775118221173
20,0.9945598417408507,0.0005200919977600689,0.9802371541501976,0.004725852484258974
21,0.9945598417408507,0.0005126377003938494,0.974308300395257,0.002790199940575088
22,0.9930761622156281,0.0006698893774535717,0.9466403162055336,0.009324924766340038
23,0.9821958456973294,0.0020539350661571885,0.9426877470355731,0.008246285058631609
24,0.990108803165183,0.0006873137778192611,0.9901185770750988,0.002795653922479644
25,0.9940652818991098,0.0010244549818278928,0.9268774703557312,0.010598295636975718
26,0.983679525222552,0.001370048289174356,0.9525691699604744,0.00651426794809904
27,0.9846686449060337,0.0017173817829421467,0.9308300395256917,0.00872611442926844
28,0.9812067260138477,0.001720076551454549,0.9703557312252964,0.004041685816636787
