epoch,train_accu,train_loss,valid_accu,valid_loss
1,0.8120672601384767,0.02851183230147635,0.66600790513834,0.09154559183026491
2,0.913946587537092,0.010110542546629788,0.8913043478260869,0.017531538544141727
3,0.9530168150346192,0.004872012292711998,0.950592885375494,0.007456466148831981
4,0.9658753709198813,0.004838342322856483,0.9545454545454546,0.005001751483296571
5,0.9406528189910979,0.006418044340099428,0.9446640316205533,0.006749575867468543
6,0.9713155291790306,0.004194907532704572,0.9367588932806324,0.0060031006734803495
7,0.9564787339268052,0.005093053954217719,0.9604743083003953,0.004124758651907088
8,0.9782393669634025,0.002572145630201577,0.974308300395257,0.003226140471683307
9,0.9876360039564788,0.001635848708279453,0.9822134387351779,0.0033517841529469247
10,0.9876360039564788,0.0019299597438237363,0.9822134387351779,0.002875543262058567
11,0.983679525222552,0.002259917172758069,0.9150197628458498,0.025126335766946846
12,0.9940652818991098,0.0011644449903013443,0.9762845849802372,0.0036438215292047844
13,0.9915924826904056,0.0010052694420965387,0.9802371541501976,0.0026755080744256025
14,0.9925816023738873,0.0010736575967362325,0.9861660079051383,0.001528074017913622
15,0.9886251236399605,0.0012838493383873686,0.9802371541501976,0.0036138350202926535
16,0.9826904055390703,0.002187246602981118,0.9683794466403162,0.00227967905213784
17,0.9915924826904056,0.0011510513925558263,0.9762845849802372,0.002580936641060552
18,0.9910979228486647,0.0010045974587461553,0.9861660079051383,0.001229993625601069
19,0.9930761622156281,0.0005428985178623298,0.9901185770750988,0.0008095779033790052
20,0.9980217606330366,0.0003349955494697072,0.9901185770750988,0.0007573959229904201
21,0.9985163204747775,0.0001738781333157358,0.9920948616600791,0.0007574706929165267
22,0.996538081107814,0.00030753429487170733,0.9861660079051383,0.0012186778527077126
23,0.9945598417408507,0.0005032278274190101,0.9822134387351779,0.003243363201029216
24,0.9960435212660732,0.0006190020374310756,0.9841897233201581,0.002469237884617017
25,0.9960435212660732,0.0006625338756162894,0.9901185770750988,0.000820083180147963
26,0.9975272007912958,0.0004017162890381684,0.9822134387351779,0.0013874284139688941
27,0.9970326409495549,0.000301465958068525,0.9901185770750988,0.000957264776825684
